file,background_brightness,reason
jaquar/JSE-CHR-S810F0680H20X.jpg,191,"skipped: dark or scene"
jaquar/JSE-CHR-S810S0812H20X.jpg,197,"skipped: dark or scene"
jaquar/JSE-CHR-S820W1216H20X.jpg,146,"skipped: dark or scene"
jaquar/JSE-CHR-S830G1620H20X.jpg,171,"skipped: dark or scene"
jaquar/JSE-CHR-S840L2024H20X.jpg,208,"skipped: tinted ground"
jaquar/JSE-CHR-STLSDR1518X.jpg,155,"skipped: dark or scene"
jaquar/JSE-GLD-ALP110F1200H20X.jpg,181,"skipped: dark or scene"
jaquar/JSE-GLD-ALP110F800H22FL.jpg,144,"skipped: dark or scene"
jaquar/JSE-GLD-ALP110F800H22LM.jpg,193,"skipped: dark or scene"
jaquar/JSE-GLD-DEL9090X.jpg,168,"skipped: dark or scene"
jaquar/JSE-GLD-FUSP1290RX.jpg,139,"skipped: dark or scene"
jaquar/JSE-GLD-OPTSDR1015X.jpg,183,"skipped: dark or scene"
jaquar/JSE-WHT-STQD1010X.jpg,121,"skipped: dark or scene"
jaquar/JSE-WHT-STRCT1210X.jpg,93,"skipped: dark or scene"
jaquar/JSE-WHT-STSQ1010X.jpg,115,"skipped: dark or scene"
jaquar/JSG-BLK-CPSQUARE.jpg,210,"skipped: tinted ground"
jaquar/JWP-WHT-ALIVE180CX.jpg,118,"skipped: dark or scene"
jaquar/JWP-WHT-ARC190CX.jpg,116,"skipped: dark or scene"
jaquar/JWP-WHT-DARC180CX.jpg,153,"skipped: dark or scene"
jaquar/JWP-WHT-FONTE160CX.jpg,166,"skipped: dark or scene"
jaquar/JWP-WHT-FONTE170CX.jpg,110,"skipped: dark or scene"
jaquar/JWP-WHT-FONTE180CX.jpg,162,"skipped: dark or scene"
jaquar/JWP-WHT-GMI140CX.jpg,72,"skipped: dark or scene"
jaquar/JWP-WHT-KUBIX180CX.jpg,145,"skipped: dark or scene"
jaquar/JWP-WHT-KUBIXPM180CX.jpg,197,"skipped: dark or scene"
jaquar/JWP-WHT-LAGUNA180CX.jpg,138,"skipped: dark or scene"
jaquar/JWP-WHT-OPALPM180CX.jpg,159,"skipped: dark or scene"
jaquar/JWP-WHT-POINT150CX.jpg,94,"skipped: dark or scene"
jaquar/JWP-WHT-VGNT190CX.jpg,167,"skipped: dark or scene"
jaquar/KUP-CHR-35011BPM.jpg,226,"skipped: tinted ground"
jaquar/LAG-CHR-91011B.jpg,227,"skipped: tinted ground"
jaquar/LYR-CHR-38193NK.jpg,221,"skipped: tinted ground"
jaquar/OPP-CHR-15011BPM.jpg,232,"skipped: tinted ground"
jaquar/ORP-CHR-10011BPM.jpg,231,"skipped: tinted ground"
jaquar/QPS-WHT-7803PM.jpg,149,"skipped: dark or scene"
jaquar/QQP-CHR-7011PM.jpg,226,"skipped: tinted ground"
jaquar/QQT-CHR-7277.jpg,232,"skipped: tinted ground"
jaquar/SHP-BLK-G0842JAX.jpg,55,"skipped: dark or scene"
jaquar/SHP-BLK-JA011.jpg,89,"skipped: dark or scene"
jaquar/SHP-BLK-ST86112.jpg,119,"skipped: dark or scene"
jaquar/SHP-SSF-ST88158B.jpg,81,"skipped: dark or scene"
jaquar/SHP-SSF-ST8858B3.jpg,54,"skipped: dark or scene"
jaquar/SHP-SSF-ST8896.jpg,92,"skipped: dark or scene"
jaquar/SHP-WHT-G0843JAX.jpg,111,"skipped: dark or scene"
jaquar/SHP-WHT-ST86113.jpg,42,"skipped: dark or scene"
jaquar/SHP-WHT-TMCURVENEO.jpg,115,"skipped: dark or scene"
jaquar/SNR-CHR-51011N.jpg,217,"skipped: tinted ground"
jaquar/SNR-CHR-51011NEBPK.jpg,221,"skipped: tinted ground"
jaquar/SNR-STL-51077E4MAD.jpg,227,"skipped: tinted ground"
jaquar/SPJ-CHR-29429.jpg,226,"skipped: tinted ground"
jaquar/SPJ-CHR-467.jpg,228,"skipped: tinted ground"
jaquar/SPJ-CHR-85429.jpg,213,"skipped: tinted ground"
jaquar/SPJ-CHR-85463.jpg,220,"skipped: tinted ground"
jaquar/VGP-CHR-81011B.jpg,231,"skipped: tinted ground"
jaquar/VRN-GRY-225.jpg,220,"skipped: tinted ground"
jaquar-technical/ALD-055N.jpg,224,"skipped: tinted ground"
jaquar-technical/ALD-089CQT.jpg,225,"skipped: tinted ground"
jaquar-technical/ALD-121.jpg,226,"skipped: tinted ground"
jaquar-technical/ALD-235N.jpg,181,"skipped: dark or scene"
jaquar-technical/ALI-85227K.jpg,229,"skipped: tinted ground"
jaquar-technical/ARI-39193K.jpg,220,"skipped: tinted ground"
jaquar-technical/ARI-39233NK.jpg,230,"skipped: tinted ground"
jaquar-technical/BSH-1751.jpg,193,"skipped: dark or scene"
jaquar-technical/BSH-1771.jpg,222,"skipped: tinted ground"
jaquar-technical/COP-011PM.jpg,229,"skipped: tinted ground"
jaquar-technical/DRC-37193K.jpg,223,"skipped: tinted ground"
jaquar-technical/DRC-37227K.jpg,220,"skipped: tinted ground"
jaquar-technical/DRC-37233NK.jpg,223,"skipped: tinted ground"
jaquar-technical/EKO-33001B.jpg,204,"skipped: tinted ground"
jaquar-technical/EKO-33011.jpg,228,"skipped: tinted ground"
jaquar-technical/EKO-33021.jpg,205,"skipped: tinted ground"
jaquar-technical/EKO-33023B.jpg,223,"skipped: tinted ground"
jaquar-technical/EKO-33069K.jpg,223,"skipped: tinted ground"
jaquar-technical/EKO-33173B.jpg,229,"skipped: tinted ground"
jaquar-technical/EKO-33233NK.jpg,221,"skipped: tinted ground"
jaquar-technical/EKO-33273UPR.jpg,229,"skipped: tinted ground"
jaquar-technical/FLV-1015.jpg,228,"skipped: tinted ground"
jaquar-technical/FUS-29441K.jpg,227,"skipped: tinted ground"
jaquar-technical/HIGH-FLOW.jpg,48,"skipped: dark or scene"
jaquar-technical/JCP-2415.jpg,224,"skipped: tinted ground"
jaquar-technical/LYR-38233NK.jpg,230,"skipped: tinted ground"
jaquar-technical/OHS-1605.jpg,231,"skipped: tinted ground"
jaquar-technical/OHS-1741.jpg,228,"skipped: tinted ground"
jaquar-technical/OHS-1743.jpg,211,"skipped: tinted ground"
jaquar-technical/PRS-061.jpg,225,"skipped: tinted ground"
jaquar-technical/SNR-15017PM.jpg,223,"skipped: tinted ground"
jaquar-technical/SOL-6441K.jpg,225,"skipped: tinted ground"
jaquar-technical/VGP-81011B.jpg,224,"skipped: tinted ground"
jaquar-technical/VGP-81083K.jpg,224,"skipped: tinted ground"
jaquar-technical/VGP-81193K.jpg,224,"skipped: tinted ground"
jaquar-technical/VGP-81233NK.jpg,230,"skipped: tinted ground"
jaquar-technical/VGP-81441K.jpg,223,"skipped: tinted ground"
