severity,kind,sku,slug,name,detail,fixedTo
"review","missing-image","5N5LT","homerun-faber-hood-dazzle-bldc-60-cm-1500-m3-hr-filterless-heat-auto-clean-wall-mounted-chimney-matte-black-5n5lt","Faber Hood Dazzle BLDC 60 cm 1500 m³/hr Filterless Heat Auto Clean Wall Mounted Chimney (Matte Black)","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","5NWJ2","asian-paints-asian-paints-woodtech-pu-interior-matt-5nwj2","Asian Paints WoodTech PU Interior Matt","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","5PQ83","jaquar-jaquar-diverter-plate-5pq83","Jaquar Diverter Plate","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","5QL8B","ebco-ebco-light-adapter-series-2-24v-24w-power-supply-unit-for-led-lights-psu2-2424-wh-5ql8b","Ebco Light Adapter Series 2, 24V 24W Power Supply Unit for LED Lights, PSU2-2424-WH","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","5QYV2","legrand-legrand-myrius-nextgen-plate-with-frame-5qyv2","Legrand Myrius NextGen Plate with Frame","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","5TPD2","ebco-ebco-hi-slide-50-reversible-sliding-mechanism-soft-close-door-fitting-5tpd2","Ebco Hi Slide 50 Reversible Sliding Mechanism, Soft Close (Door Fitting)","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","5U9PR","ebco-ebco-aluminium-profile-shutter-handle-end-cap-ec-1935-ab-anodised-black-l-r-set-5u9pr","Ebco Aluminium Profile Shutter Handle End Cap, EC-1935-AB, Anodised Black, L+R Set","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","5VCH5","asian-paints-asian-paints-smartcare-damp-proof-advanced-5vch5","Asian Paints SmartCare Damp Proof Advanced","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","5WFH6","archidply-archidply-decor-pure-710-bwp-plywood-5wfh6","Archidply Decor Pure 710 BWP Plywood","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","5XN47","homerun-futura-hand-carved-series-single-bowl-stainless-steel-5xn47","Futura Hand Carved Series Single Bowl, Stainless Steel","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","5YPV8","fevicol-fevicol-hi-per-anti-bubble-waterproof-adhesive-5ypv8","Fevicol HI-PER Anti-Bubble Waterproof Adhesive","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","64LE6","myk-laticrete-myk-laticrete-305-tile-adhesive-grey-30-kg-bag-64le6","MYK Laticrete 305 Tile Adhesive, Grey, 30 Kg Bag","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","unit-mismatch","64LE6","myk-laticrete-myk-laticrete-305-tile-adhesive-grey-30-kg-bag-64le6","MYK Laticrete 305 Tile Adhesive, Grey, 30 Kg Bag","Name says 30Kg but the row is priced PER_KG. Either re-unit it, or the price is for the pack and should be divided by 30. Cheapest variant: 420.00",""
"review","missing-image","66X75-1","jaquar-jaquar-abs-overhead-shower-66x75-1","Jaquar ABS Overhead Shower","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","683EL","europa-europa-jemmy-proof-lock-j320-14-pin-dimple-key-2-deadbolts-single-double-and-sliding-doors-683el","Europa Jemmy Proof Lock – J320, 14-Pin Dimple Key, 2 Deadbolts, Single, Double and Sliding Doors","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
